Nest_ID;Year;Total_Days;Nest_Fate;Lay_Days;Incubation_Days;Nestling_Days;Lay_Fate;Incubation_Fate;Nestling_Fate;Stage;Estacion;Altura
P51JSH14;2014;8;2,3;NA;8;NA;2,3;2,3;2,3;INC;Pantiacolla;0,7
P51MASM12;2012;1;2,6;NA;NA;1;2,6;2,6;2,6;NSTL;Pantiacolla;NA
P52MASM13;2013;1;2,3;NA;NA;1;2,3;2,3;2,3;NSTL;Pantiacolla;1,4
P53JAG10;2010;9;2,3;NA;9;NA;2,3;2,3;2,3;INC;Pantiacolla;1,19
P55MASM13;2013;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;1,2
P55MHD13;2013;9;2,3;NA;9;NA;2,3;2,3;2,3;INC;Pantiacolla;1,25
P59MASM13;2013;10;2,3;NA;10;NA;2,3;2,3;2,3;INC;Pantiacolla;0,6
P5JCC13;2013;1;2,2;NA;1;NA;1;2,2;2,2;INC;Pantiacolla;0,5
P5JDC12;2012;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;1,3
P5JSP13;2013;1;2,2;NA;1;NA;1;2,2;2,2;INC;Pantiacolla;1,2
P5MASM12;2012;13;2,3;NA;NA;13;2,3;2,3;2,3;NSTL;Pantiacolla;1,9
P62CFV11;2011;15;2,3;2;15;NA;2,3;2,3;2,3;INC;Pantiacolla;1,7
P6JAEC10;2010;16;2,2;NA;16;NA;1;2,2;2,2;INC;Pantiacolla;1,75
P6JAL12;2012;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;NA
P6JMM11;2011;9;2,3;NA;NA;9;2,3;2,3;2,3;NSTL;Pantiacolla;0,6
P6JSP13;2013;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;1,65
P6PCGJ12;2012;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;1,2
P77MASM13;2013;5;2,3;NA;5;NA;2,3;2,3;2,3;INC;Pantiacolla;3
P78CFV11;2011;4;2,5;NA;4;NA;2,5;2,5;2,5;INC;Pantiacolla;1,7
P7BRA14;2014;3;2,5;NA;3;NA;2,5;2,5;2,5;INC;Pantiacolla;1,25
P7JAG10;2010;14;2,3;NA;14;10;2,3;2,3;2,3;NSTL;Pantiacolla;0,6
P7JCC13;2013;1;2,2;NA;1;NA;1;2,2;2,2;INC;Pantiacolla;1,6
P80CFV11;2011;1;2,5;NA;1;NA;2,5;2,5;2,5;INC;Pantiacolla;2,2
P84MASM12;2012;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;1,8
P8JCK13;2013;3;2,2;NA;1;NA;1;2,2;2,2;INC;Pantiacolla;1,5
P8JMGP12;2012;1;1;NA;NA;13;1;1;1;NSTL;Pantiacolla;0,5
P92MASM12;2012;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;2,34
P93MASM13;2013;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;1,8
P9GVC10;2010;15;1;NA;2;13;1;1;1;NSTL;Pantiacolla;2,1
P9JCC13;2013;4;2,2;NA;4;NA;1;2,2;2,2;INC;Pantiacolla;1
P9MAL10;2010;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;1,1
P9NSTC13;2013;2;2,3;NA;2;NA;2,3;2,3;2,3;INC;Pantiacolla;NA
T18MAL09;2009;4;2,3;NA;4;NA;2,3;2,3;2,3;INC;Tono;2,6
T1GAL07;2007;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Tono;0,8
T1GVC08;2008;5;2,4;NA;NA;5;2,4;2,4;2,4;NSTL;Tono;1,7
T1JAG08;2008;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Tono;0,9
T1KMB08;2008;1;2,2;NA;1;NA;1;2,2;2,2;INC;Tono;0,7
T1SDR08;2008;4;2,2;NA;4;NA;1;2,2;2,2;INC;Tono;1,3
T22JAH09;2009;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Tono;0,5
T24MAL09;2009;22;1;NA;9;13;1;1;1;NSTL;Tono;2,1
T25JAH09;2009;2;2,2;NA;2;NA;1;2,2;2,2;INC;Tono;1,2
T2GVC08;2008;3;2,3;NA;3;NA;2,3;2,3;2,3;INC;Tono;1,9
T2JAG08;2008;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Tono;0,67
T2KMB08;2008;7;2,3;NA;7;NA;2,3;2,3;2,3;INC;Tono;1
T2SDR08;2008;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Tono;0,8
T30MAL09;2009;19;1;NA;7;12;1;1;1;NSTL;Tono;1,65
T37MAL09;2009;3;2,5;NA;3;NA;2,5;2,5;2,5;INC;Tono;1,8
T38SCP09;2009;3;2,3;NA;NA;3;2,3;2,3;2,3;INC;Tono;1
T3GVC08;2008;3;2,2;NA;1;NA;1;2,2;2,2;INC;Tono;1,2
T3JAG08;2008;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Tono;0,92
T3KMB08;2008;4;2,3;NA;4;NA;2,3;2,3;2,3;INC;Tono;NA
T4KMB08;2008;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Tono;NA
T5JAG08;2008;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Tono;NA
T6JAH09;2009;4;2,3;NA;1;NA;2,3;2,3;2,3;INC;Tono;0,5
T8JAG08;2008;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Tono;0,8
