dia;parte;med
10;ala;26,7
10;ala;22,6
9;ala;28,50
9;ala;29,70
10;ala;32,60
10;ala;32,90
11;ala;36,40
11;ala;38,20
12;ala;40,40
12;ala;41,00
1;ala;7
1;ala;6
2;ala;7,6
2;ala;7
3;ala;8
3;ala;7,2
5;ala;13,5
6;ala;17,9
8;ala;25,6
12;ala;35,7
5;ala;12,4
5;ala;12,8
8;ala;24,2
8;ala;25,2
2;peso;3,50
3;peso;4,85
4;peso;4,50
5;peso;6,30
7;peso;8,35
8;peso;11,10
1;peso;2,85
2;peso;4,00
3;peso;5,20
4;peso;7,05
5;peso;8,50
6;peso;10,30
7;peso;11,60
8;peso;13,80
9;peso;14,40
10;peso;14,40
11;peso;14,35
12;peso;15,00
13;peso;13,45
14;peso;14,50
1;peso;3,00
2;peso;5,10
3;peso;4,65
4;peso;7,05
5;peso;9,55
6;peso;9,50
7;peso;11,95
8;peso;12,80
9;peso;13,65
10;peso;13,45
11;peso;13,80
12;peso;13,45
13;peso;13,70
14;peso;14,10
2;peso;3,79
3;peso;3,39
4;peso;7,20
4;peso;6,95
6;peso;9,90
6;peso;10,15
7;peso;11,20
7;peso;11,20
8;peso;12,20
8;peso;12,00
9;peso;12,70
9;peso;13,45
11;peso;13,30
11;peso;13,90
12;peso;13,65
12;peso;12,70
1;peso;2,05
1;peso;1,95
2;peso;3,95
2;peso;4,20
3;peso;5,05
3;peso;5,60
4;peso;6,60
4;peso;7,05
5;peso;7,65
5;peso;7,75
6;peso;10,40
6;peso;10,10
7;peso;10,40
7;peso;10,30
8;peso;13,20
8;peso;13,60
9;peso;13,95
9;peso;14,10
10;peso;14,95
10;peso;14,95
11;peso;14,90
11;peso;14,80
12;peso;14,15
12;peso;13,95
13;peso;13,30
13;peso;14,05
1;peso;2,32
2;peso;3,65
1;peso;2,23
3;peso;5,16
2;peso;2,98
5;peso;8,07
4;peso;5,14
6;peso;9,71
5;peso;6,89
7;peso;11,20
6;peso;8,05
8;peso;13,16
7;peso;9,47
9;peso;14,00
8;peso;11,63
10;peso;14,90
9;peso;11,80
11;peso;14,21
10;peso;12,13
12;peso;15,79
11;peso;12,26
12;peso;11,38
14;peso;10,66
15;peso;11,60
8;peso;11,40
7;peso;8,24
9;peso;15,50
14;peso;15,33
15;peso;15,75
16;peso;16,59
3;peso;3,50
3;peso;5,70
4;peso;8,50
4;peso;11,00
5;peso;5,75
5;peso;7,80
6;peso;8,95
6;peso;10,95
8;peso;11,85
8;peso;11,65
9;peso;13,00
9;peso;12,50
10;peso;13,25
10;peso;12,85
1;peso;2,91
1;peso;4,70
1;peso;3,70
2;peso;6,15
2;peso;5,20
3;peso;5,45
3;peso;7,20
4;peso;6,70
4;peso;8,35
5;peso;9,70
5;peso;10,58
6;peso;10,38
6;peso;11,63
7;peso;11,37
7;peso;13,15
8;peso;11,90
8;peso;14,10
9;peso;15,10
9;peso;13,20
10;peso;13,00
10;peso;14,90
11;peso;13,85
11;peso;13,35
12;peso;13,85
12;peso;13,65
13;peso;12,20
14;peso;13,05
2;peso;3,65
2;peso;4,39
3;peso;4,38
3;peso;5,02
4;peso;4,94
4;peso;4,50
